"year","weekday","month","day","total_number_of_deaths"
2009,"sunday",3,29,"8"
2021,"tuesday",3,16,"8"
2008,"wednesday",3,19,"22"
2005,"monday",3,21,"10"
2021,"monday",3,22,"10"
1998,"tuesday",3,24,"5"
2010,"monday",3,8,"9"
2023,"monday",3,27,"6"
2013,"wednesday",3,13,"5"
2021,"wednesday",3,31,"4"
2006,"saturday",3,25,"7"
2014,"tuesday",3,4,"3"
1995,"saturday",3,4,"6"
2009,"wednesday",3,4,"14"
2020,"monday",3,16,"4"
