"title","genre","year","num_injured","num_deaths"
"super smash bros. brawl","fighting",2008,2,6
"call of duty: black ops","shooter",2010,546,58
"call of duty: black ops","shooter",2010,2,9
"animal crossing: wild world","simulation",2005,5,10
"animal crossing: wild world","simulation",2005,4,7
"mario kart 7","racing",2011,22,12
"mario kart 7","racing",2011,20,26
"mario kart 7","racing",2011,0,3
"mario kart 7","racing",2011,1,8
"mario kart 7","racing",2011,7,5
"mario kart 7","racing",2011,13,6
"halo 3","shooter",2007,46,7
"halo 3","shooter",2007,4,9
"halo 3","shooter",2007,1,6
"halo 3","shooter",2007,23,32
"halo 3","shooter",2007,4,6
"grand theft auto v","action",2014,1,5
"grand theft auto v","action",2014,13,6
"grand theft auto v","action",2014,12,3
"grand theft auto v","action",2014,2,4
"pokemon heartgold/pokemon soulsilver","action",2009,0,5
"pokemon heartgold/pokemon soulsilver","action",2009,2,3
"pokemon heartgold/pokemon soulsilver","action",2009,1,4
"pokemon heartgold/pokemon soulsilver","action",2009,31,13
"pokemon heartgold/pokemon soulsilver","action",2009,4,14
"pokemon heartgold/pokemon soulsilver","action",2009,3,8
"super mario 64","platform",1996,1,6
"gran turismo 4","racing",2004,7,5
"super mario galaxy","platform",2007,46,7
"super mario galaxy","platform",2007,4,9
"super mario galaxy","platform",2007,1,6
"super mario galaxy","platform",2007,23,32
"super mario galaxy","platform",2007,4,6
"pokemon omega ruby/pokemon alpha sapphire","role-playing",2014,1,5
"pokemon omega ruby/pokemon alpha sapphire","role-playing",2014,13,6
"pokemon omega ruby/pokemon alpha sapphire","role-playing",2014,12,3
"pokemon omega ruby/pokemon alpha sapphire","role-playing",2014,2,4
"super mario land 2: 6 golden coins","adventure",1992,0,5
"super mario land 2: 6 golden coins","adventure",1992,10,4
"grand theft auto iv","action",2008,27,9
"grand theft auto iv","action",2008,26,22
"grand theft auto iv","action",2008,1,6
"grand theft auto iv","action",2008,21,5
"grand theft auto iv","action",2008,2,6
"gran turismo","racing",1997,2,5
"gran turismo","racing",1997,3,4
"super mario 3d land","platform",2011,22,12
"super mario 3d land","platform",2011,20,26
"super mario 3d land","platform",2011,0,3
"super mario 3d land","platform",2011,1,8
"super mario 3d land","platform",2011,7,5
"super mario 3d land","platform",2011,13,6
"gran turismo 5","racing",2010,546,58
"gran turismo 5","racing",2010,2,9
"call of duty: modern warfare 2","shooter",2009,0,5
