video_game_key,game_key,na_sales,eu_sales,jp_sales,other_sales,global_sales,date_key
1,1,41.49,29.02,3.77,8.46,82.74,"[12, 13, 52, 101, 102, 103]"
2,2,29.08,3.58,6.81,0.77,40.24,
3,3,15.85,12.88,3.79,3.31,35.82,"[27, 28, 94, 95, 96]"
4,4,15.75,11.01,3.28,2.96,33.0,"[38, 39, 90, 91, 92, 93]"
5,5,11.27,8.89,10.22,1.0,31.37,[120]
6,6,23.2,2.26,4.22,0.58,30.26,"[133, 134]"
7,7,11.38,9.23,6.5,2.9,30.01,"[12, 13, 52, 101, 102, 103]"
8,8,14.03,9.2,2.93,2.85,29.02,"[12, 13, 52, 101, 102, 103]"
9,9,14.59,7.06,4.7,2.26,28.62,"[38, 39, 90, 91, 92, 93]"
10,10,26.93,0.63,0.28,0.47,28.31,"[138, 139]"
11,11,9.07,11.0,1.93,2.75,24.76,"[104, 105]"
12,12,9.81,7.57,4.13,1.92,23.42,"[104, 105]"
13,13,9.0,6.18,7.2,0.71,23.1,"[110, 111, 112, 113, 114]"
14,14,8.94,8.03,3.6,2.15,22.72,"[10, 97, 98, 99, 100]"
15,15,9.09,8.59,2.53,1.79,22.0,"[38, 39, 90, 91, 92, 93]"
16,16,14.97,4.94,0.24,1.67,21.82,"[50, 89]"
17,17,7.01,9.27,0.97,4.14,21.4,"[74, 75, 76, 77, 78]"
18,18,9.43,0.4,0.41,10.57,20.81,[106]
19,19,12.78,3.75,3.54,0.55,20.61,[132]
20,20,4.75,9.26,4.16,2.05,20.22,"[104, 105]"
21,21,6.42,4.52,6.04,1.37,18.36,"[12, 13, 52, 101, 102, 103]"
22,22,10.83,2.71,4.18,0.42,18.14,"[133, 134]"
23,23,9.54,3.44,3.84,0.46,17.28,[135]
24,24,9.63,5.31,0.06,1.38,16.38,"[74, 75, 76, 77, 78]"
25,25,8.41,5.49,0.47,1.78,16.15,
26,26,6.06,3.9,5.38,0.5,15.85,
27,27,5.57,3.28,5.65,0.82,15.32,"[50, 89]"
28,28,3.44,5.36,5.32,1.18,15.3,"[104, 105]"
29,29,6.85,5.09,1.87,1.16,14.98,[108]
30,30,9.03,4.28,0.13,1.32,14.76,"[35, 47, 48, 86, 87, 88]"
31,31,5.89,5.04,3.12,0.59,14.64,"[115, 116, 117]"
32,32,9.67,3.73,0.11,1.13,14.64,"[50, 89]"
33,33,5.17,4.05,4.34,0.79,14.35,"[74, 75, 76, 77, 78]"
34,34,5.77,5.81,0.35,2.31,14.24,"[63, 64, 65, 66, 67, 68, 69]"
35,35,4.99,5.88,0.65,2.52,14.03,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
36,36,8.25,4.3,0.07,1.12,13.73,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
37,37,8.52,3.63,0.08,1.29,13.51,"[38, 39, 90, 91, 92, 93]"
38,38,5.54,5.82,0.49,1.62,13.46,"[35, 47, 48, 86, 87, 88]"
39,39,6.99,4.51,0.3,1.3,13.1,[108]
40,40,6.75,2.61,2.66,1.02,13.04,"[27, 28, 94, 95, 96]"
41,41,5.98,4.44,0.48,1.83,12.73,"[50, 89]"
42,42,2.55,3.52,5.33,0.88,12.27,"[104, 105]"
43,43,4.74,3.91,2.67,0.89,12.21,"[35, 47, 48, 86, 87, 88]"
44,44,7.97,2.83,0.13,1.21,12.14,"[10, 97, 98, 99, 100]"
45,45,3.8,5.81,0.36,2.02,11.98,"[70, 71, 72, 73]"
46,46,4.4,2.77,3.96,0.77,11.9,"[38, 39, 90, 91, 92, 93]"
47,47,6.91,2.85,1.91,0.23,11.89,[120]
48,48,3.01,0.01,1.1,7.53,11.66,[106]
49,49,6.16,3.4,1.2,0.76,11.52,"[10, 97, 98, 99, 100]"
50,50,4.23,3.37,3.08,0.65,11.33,"[70, 71, 72, 73]"
51,51,6.16,2.04,2.69,0.29,11.18,"[127, 128]"
52,52,6.76,3.1,0.14,1.03,11.02,"[27, 28, 94, 95, 96]"
53,53,4.02,3.87,2.54,0.52,10.95,"[118, 119]"
54,54,4.89,2.99,2.13,0.78,10.79,"[35, 47, 48, 86, 87, 88]"
55,55,2.96,4.88,0.81,2.12,10.77,"[50, 89]"
56,56,4.99,3.69,0.38,1.63,10.69,"[38, 39, 90, 91, 92, 93]"
57,57,4.76,3.76,0.44,1.62,10.57,"[27, 28, 94, 95, 96]"
58,58,5.99,2.15,2.12,0.29,10.55,"[123, 124, 125, 126]"
59,59,4.34,2.65,3.15,0.35,10.49,[106]
60,60,5.08,3.11,1.25,0.98,10.42,[106]
61,61,6.05,3.15,0.0,1.07,10.26,"[35, 47, 48, 86, 87, 88]"
62,62,6.72,2.63,0.04,0.82,10.21,"[74, 75, 76, 77, 78]"
63,63,7.03,1.98,0.08,0.78,9.88,"[50, 89]"
64,64,5.55,1.94,2.23,0.15,9.87,[120]
65,65,3.66,3.07,2.47,0.63,9.82,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
66,66,6.63,2.36,0.04,0.73,9.76,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
