video_game_key,date_key
198,"[70, 71, 72, 73]"
199,"[12, 13, 52, 101, 102, 103]"
200,"[50, 89]"
201,"[110, 111, 112, 113, 114]"
202,[120]
203,"[110, 111, 112, 113, 114]"
204,"[70, 71, 72, 73]"
205,"[110, 111, 112, 113, 114]"
206,"[115, 116, 117]"
207,"[10, 97, 98, 99, 100]"
208,"[10, 97, 98, 99, 100]"
209,"[27, 28, 94, 95, 96]"
210,"[10, 97, 98, 99, 100]"
211,"[10, 97, 98, 99, 100]"
212,"[104, 105]"
213,"[10, 97, 98, 99, 100]"
214,"[118, 119]"
215,"[50, 89]"
216,[132]
217,"[50, 89]"
218,"[50, 89]"
219,"[10, 97, 98, 99, 100]"
220,"[70, 71, 72, 73]"
221,"[110, 111, 112, 113, 114]"
222,"[57, 58, 59, 60, 61, 62]"
223,"[35, 47, 48, 86, 87, 88]"
224,[109]
225,"[43, 107]"
226,[109]
227,"[27, 28, 94, 95, 96]"
228,
229,"[35, 47, 48, 86, 87, 88]"
230,[120]
231,"[10, 97, 98, 99, 100]"
232,"[129, 130, 131]"
233,
234,"[38, 39, 90, 91, 92, 93]"
235,"[74, 75, 76, 77, 78]"
236,"[63, 64, 65, 66, 67, 68, 69]"
237,"[70, 71, 72, 73]"
238,"[10, 97, 98, 99, 100]"
239,[106]
240,
241,"[12, 13, 52, 101, 102, 103]"
242,
243,[109]
244,"[63, 64, 65, 66, 67, 68, 69]"
245,"[70, 71, 72, 73]"
246,"[104, 105]"
247,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
248,"[50, 89]"
249,[108]
250,"[12, 13, 52, 101, 102, 103]"
251,"[12, 13, 52, 101, 102, 103]"
252,[136]
253,"[104, 105]"
254,"[12, 13, 52, 101, 102, 103]"
255,"[129, 130, 131]"
256,"[104, 105]"
257,"[74, 75, 76, 77, 78]"
258,"[70, 71, 72, 73]"
259,
260,"[27, 28, 94, 95, 96]"
261,"[63, 64, 65, 66, 67, 68, 69]"
262,"[74, 75, 76, 77, 78]"
263,"[38, 39, 90, 91, 92, 93]"
264,"[35, 47, 48, 86, 87, 88]"
265,[108]
266,[106]
267,"[12, 13, 52, 101, 102, 103]"
268,[121]
269,"[35, 47, 48, 86, 87, 88]"
270,"[104, 105]"
271,"[43, 107]"
272,"[57, 58, 59, 60, 61, 62]"
273,"[10, 97, 98, 99, 100]"
274,"[35, 47, 48, 86, 87, 88]"
275,"[38, 39, 90, 91, 92, 93]"
276,"[35, 47, 48, 86, 87, 88]"
277,"[133, 134]"
278,"[138, 139]"
279,"[118, 119]"
280,
281,"[70, 71, 72, 73]"
282,"[118, 119]"
283,[121]
284,"[12, 13, 52, 101, 102, 103]"
285,"[35, 47, 48, 86, 87, 88]"
286,"[127, 128]"
287,"[10, 97, 98, 99, 100]"
288,"[63, 64, 65, 66, 67, 68, 69]"
289,"[10, 97, 98, 99, 100]"
290,"[50, 89]"
291,"[10, 97, 98, 99, 100]"
292,"[10, 97, 98, 99, 100]"
293,"[104, 105]"
294,[120]
295,[109]
296,"[70, 71, 72, 73]"
297,"[118, 119]"
298,"[70, 71, 72, 73]"
299,"[138, 139]"
300,"[27, 28, 94, 95, 96]"
301,"[10, 97, 98, 99, 100]"
302,"[38, 39, 90, 91, 92, 93]"
303,"[104, 105]"
304,"[38, 39, 90, 91, 92, 93]"
305,"[70, 71, 72, 73]"
306,[122]
307,"[43, 107]"
308,"[74, 75, 76, 77, 78]"
309,"[70, 71, 72, 73]"
310,"[12, 13, 52, 101, 102, 103]"
311,"[35, 47, 48, 86, 87, 88]"
312,"[104, 105]"
313,[135]
314,"[50, 89]"
315,"[63, 64, 65, 66, 67, 68, 69]"
316,[106]
317,"[10, 97, 98, 99, 100]"
318,[121]
319,"[127, 128]"
320,"[38, 39, 90, 91, 92, 93]"
321,"[10, 97, 98, 99, 100]"
322,"[35, 47, 48, 86, 87, 88]"
323,"[63, 64, 65, 66, 67, 68, 69]"
324,"[35, 47, 48, 86, 87, 88]"
325,"[27, 28, 94, 95, 96]"
326,[120]
327,"[10, 97, 98, 99, 100]"
328,"[74, 75, 76, 77, 78]"
329,
330,"[10, 97, 98, 99, 100]"
331,[108]
332,"[63, 64, 65, 66, 67, 68, 69]"
333,"[110, 111, 112, 113, 114]"
334,[109]
335,[106]
336,"[115, 116, 117]"
337,"[74, 75, 76, 77, 78]"
338,"[10, 97, 98, 99, 100]"
339,"[38, 39, 90, 91, 92, 93]"
340,
341,"[104, 105]"
342,"[115, 116, 117]"
343,
344,"[27, 28, 94, 95, 96]"
345,"[74, 75, 76, 77, 78]"
346,[108]
347,"[110, 111, 112, 113, 114]"
348,"[38, 39, 90, 91, 92, 93]"
349,"[10, 97, 98, 99, 100]"
350,"[74, 75, 76, 77, 78]"
351,"[104, 105]"
352,"[57, 58, 59, 60, 61, 62]"
353,[106]
354,[122]
355,[108]
356,"[10, 97, 98, 99, 100]"
357,[108]
358,"[104, 105]"
359,[109]
360,"[118, 119]"
361,"[12, 13, 52, 101, 102, 103]"
362,
363,"[118, 119]"
364,[108]
365,"[104, 105]"
366,"[74, 75, 76, 77, 78]"
367,"[50, 89]"
368,[109]
369,"[110, 111, 112, 113, 114]"
370,"[27, 28, 94, 95, 96]"
371,"[38, 39, 90, 91, 92, 93]"
372,"[38, 39, 90, 91, 92, 93]"
373,[120]
374,"[50, 89]"
375,
376,"[38, 39, 90, 91, 92, 93]"
377,"[12, 13, 52, 101, 102, 103]"
378,
379,"[63, 64, 65, 66, 67, 68, 69]"
380,"[50, 89]"
381,"[27, 28, 94, 95, 96]"
382,"[70, 71, 72, 73]"
383,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
384,"[74, 75, 76, 77, 78]"
385,"[38, 39, 90, 91, 92, 93]"
386,
387,"[74, 75, 76, 77, 78]"
388,"[35, 47, 48, 86, 87, 88]"
389,"[115, 116, 117]"
390,[122]
391,[106]
392,[132]
393,
394,[109]
395,"[27, 28, 94, 95, 96]"
396,"[63, 64, 65, 66, 67, 68, 69]"
397,"[38, 39, 90, 91, 92, 93]"
398,"[115, 116, 117]"
399,[109]
400,"[27, 28, 94, 95, 96]"
401,"[115, 116, 117]"
402,"[74, 75, 76, 77, 78]"
403,"[12, 13, 52, 101, 102, 103]"
404,
405,
406,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
407,"[104, 105]"
408,[108]
409,"[43, 107]"
410,"[63, 64, 65, 66, 67, 68, 69]"
411,"[70, 71, 72, 73]"
412,"[43, 107]"
413,"[27, 28, 94, 95, 96]"
414,"[38, 39, 90, 91, 92, 93]"
415,"[63, 64, 65, 66, 67, 68, 69]"
416,[121]
417,"[63, 64, 65, 66, 67, 68, 69]"
418,"[35, 47, 48, 86, 87, 88]"
419,"[63, 64, 65, 66, 67, 68, 69]"
420,"[70, 71, 72, 73]"
421,"[110, 111, 112, 113, 114]"
422,
423,[121]
424,[109]
425,"[10, 97, 98, 99, 100]"
426,"[27, 28, 94, 95, 96]"
427,[121]
428,"[50, 89]"
429,"[43, 107]"
430,"[63, 64, 65, 66, 67, 68, 69]"
431,"[50, 89]"
432,
433,"[27, 28, 94, 95, 96]"
434,[108]
435,"[27, 28, 94, 95, 96]"
436,[108]
437,"[27, 28, 94, 95, 96]"
438,"[104, 105]"
439,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
440,"[70, 71, 72, 73]"
441,"[10, 97, 98, 99, 100]"
442,[109]
443,"[115, 116, 117]"
444,"[110, 111, 112, 113, 114]"
445,"[12, 13, 52, 101, 102, 103]"
446,"[10, 97, 98, 99, 100]"
447,[132]
448,"[50, 89]"
449,"[50, 89]"
450,"[70, 71, 72, 73]"
451,
452,[108]
453,[137]
454,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
455,"[74, 75, 76, 77, 78]"
456,[122]
457,
458,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
459,"[27, 28, 94, 95, 96]"
460,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
461,"[50, 89]"
462,"[27, 28, 94, 95, 96]"
463,[121]
464,"[38, 39, 90, 91, 92, 93]"
465,
466,[136]
467,
468,"[63, 64, 65, 66, 67, 68, 69]"
469,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
470,"[10, 97, 98, 99, 100]"
471,
472,"[70, 71, 72, 73]"
473,"[123, 124, 125, 126]"
474,[109]
475,
476,[108]
477,"[63, 64, 65, 66, 67, 68, 69]"
478,"[50, 89]"
479,"[70, 71, 72, 73]"
480,"[35, 47, 48, 86, 87, 88]"
481,"[43, 107]"
482,"[27, 28, 94, 95, 96]"
483,
484,"[38, 39, 90, 91, 92, 93]"
485,[120]
486,"[43, 107]"
487,"[104, 105]"
488,"[38, 39, 90, 91, 92, 93]"
489,[108]
490,"[10, 97, 98, 99, 100]"
491,"[12, 13, 52, 101, 102, 103]"
492,"[10, 97, 98, 99, 100]"
493,
494,"[74, 75, 76, 77, 78]"
495,"[70, 71, 72, 73]"
496,[106]
497,"[27, 28, 94, 95, 96]"
498,"[43, 107]"
499,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
500,[108]
501,[106]
502,"[35, 47, 48, 86, 87, 88]"
503,"[110, 111, 112, 113, 114]"
504,"[10, 97, 98, 99, 100]"
505,"[115, 116, 117]"
506,"[74, 75, 76, 77, 78]"
507,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
508,
509,"[35, 47, 48, 86, 87, 88]"
510,[132]
511,"[118, 119]"
512,[120]
513,"[35, 47, 48, 86, 87, 88]"
514,"[63, 64, 65, 66, 67, 68, 69]"
515,"[50, 89]"
516,"[10, 97, 98, 99, 100]"
517,"[38, 39, 90, 91, 92, 93]"
518,"[50, 89]"
519,
520,
521,"[43, 107]"
522,[122]
523,"[50, 89]"
524,"[10, 97, 98, 99, 100]"
525,"[43, 107]"
526,"[27, 28, 94, 95, 96]"
527,"[12, 13, 52, 101, 102, 103]"
528,"[118, 119]"
529,"[35, 47, 48, 86, 87, 88]"
530,"[115, 116, 117]"
531,[108]
532,"[127, 128]"
533,[120]
534,"[35, 47, 48, 86, 87, 88]"
535,[108]
536,"[38, 39, 90, 91, 92, 93]"
537,"[35, 47, 48, 86, 87, 88]"
538,"[43, 107]"
539,"[70, 71, 72, 73]"
540,"[43, 107]"
541,"[38, 39, 90, 91, 92, 93]"
542,"[43, 107]"
543,"[10, 97, 98, 99, 100]"
544,"[35, 47, 48, 86, 87, 88]"
545,
546,"[127, 128]"
547,"[74, 75, 76, 77, 78]"
548,[109]
549,[137]
550,"[35, 47, 48, 86, 87, 88]"
551,"[12, 13, 52, 101, 102, 103]"
552,
553,[108]
554,"[63, 64, 65, 66, 67, 68, 69]"
555,"[115, 116, 117]"
556,"[35, 47, 48, 86, 87, 88]"
557,"[12, 13, 52, 101, 102, 103]"
558,"[50, 89]"
559,"[50, 89]"
560,"[50, 89]"
561,[106]
562,"[70, 71, 72, 73]"
563,"[38, 39, 90, 91, 92, 93]"
564,"[35, 47, 48, 86, 87, 88]"
565,"[127, 128]"
566,"[104, 105]"
567,"[27, 28, 94, 95, 96]"
568,"[115, 116, 117]"
569,[106]
570,"[12, 13, 52, 101, 102, 103]"
571,"[43, 107]"
572,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
573,"[12, 13, 52, 101, 102, 103]"
574,[137]
575,[120]
576,"[10, 97, 98, 99, 100]"
577,[109]
578,"[12, 13, 52, 101, 102, 103]"
579,"[38, 39, 90, 91, 92, 93]"
580,"[38, 39, 90, 91, 92, 93]"
581,[106]
582,"[10, 97, 98, 99, 100]"
583,"[50, 89]"
584,"[38, 39, 90, 91, 92, 93]"
585,"[35, 47, 48, 86, 87, 88]"
586,"[27, 28, 94, 95, 96]"
587,
588,"[50, 89]"
589,[132]
590,"[27, 28, 94, 95, 96]"
591,"[10, 97, 98, 99, 100]"
592,[106]
593,"[38, 39, 90, 91, 92, 93]"
594,"[74, 75, 76, 77, 78]"
595,"[38, 39, 90, 91, 92, 93]"
596,"[10, 97, 98, 99, 100]"
597,"[12, 13, 52, 101, 102, 103]"
598,[106]
599,"[50, 89]"
600,"[38, 39, 90, 91, 92, 93]"
601,"[10, 97, 98, 99, 100]"
602,[108]
603,[136]
604,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
605,"[43, 107]"
606,"[27, 28, 94, 95, 96]"
607,"[27, 28, 94, 95, 96]"
608,
609,[108]
610,[109]
611,"[10, 97, 98, 99, 100]"
612,[137]
613,"[74, 75, 76, 77, 78]"
614,"[12, 13, 52, 101, 102, 103]"
615,"[27, 28, 94, 95, 96]"
616,"[110, 111, 112, 113, 114]"
617,"[35, 47, 48, 86, 87, 88]"
618,"[43, 107]"
619,"[50, 89]"
620,
621,"[27, 28, 94, 95, 96]"
622,"[27, 28, 94, 95, 96]"
623,"[115, 116, 117]"
624,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
625,
626,"[74, 75, 76, 77, 78]"
627,
628,"[50, 89]"
629,"[27, 28, 94, 95, 96]"
630,"[127, 128]"
631,"[118, 119]"
632,[120]
633,"[35, 47, 48, 86, 87, 88]"
634,"[12, 13, 52, 101, 102, 103]"
635,"[43, 107]"
636,"[118, 119]"
637,"[27, 28, 94, 95, 96]"
638,"[115, 116, 117]"
639,[135]
640,"[50, 89]"
641,"[43, 107]"
642,[108]
643,"[115, 116, 117]"
644,"[70, 71, 72, 73]"
645,"[10, 97, 98, 99, 100]"
646,"[63, 64, 65, 66, 67, 68, 69]"
647,[120]
648,[136]
649,"[118, 119]"
650,
651,"[63, 64, 65, 66, 67, 68, 69]"
652,"[50, 89]"
653,
654,[122]
655,"[74, 75, 76, 77, 78]"
656,"[35, 47, 48, 86, 87, 88]"
657,"[104, 105]"
658,"[10, 97, 98, 99, 100]"
659,"[35, 47, 48, 86, 87, 88]"
660,"[115, 116, 117]"
661,"[63, 64, 65, 66, 67, 68, 69]"
662,"[70, 71, 72, 73]"
663,"[50, 89]"
664,[108]
665,"[10, 97, 98, 99, 100]"
666,[106]
667,[106]
668,[106]
669,"[38, 39, 90, 91, 92, 93]"
670,"[35, 47, 48, 86, 87, 88]"
671,[121]
672,"[50, 89]"
673,[120]
674,"[115, 116, 117]"
675,"[27, 28, 94, 95, 96]"
676,"[74, 75, 76, 77, 78]"
677,"[10, 97, 98, 99, 100]"
678,"[27, 28, 94, 95, 96]"
679,[108]
680,"[50, 89]"
681,"[63, 64, 65, 66, 67, 68, 69]"
682,"[63, 64, 65, 66, 67, 68, 69]"
683,"[50, 89]"
684,[109]
685,"[118, 119]"
686,[106]
687,[106]
688,"[110, 111, 112, 113, 114]"
689,[121]
690,"[115, 116, 117]"
691,"[74, 75, 76, 77, 78]"
692,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
693,"[27, 28, 94, 95, 96]"
694,"[35, 47, 48, 86, 87, 88]"
695,"[118, 119]"
696,"[74, 75, 76, 77, 78]"
697,[106]
698,"[38, 39, 90, 91, 92, 93]"
699,"[70, 71, 72, 73]"
700,"[63, 64, 65, 66, 67, 68, 69]"
701,
702,"[27, 28, 94, 95, 96]"
703,"[27, 28, 94, 95, 96]"
704,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
705,"[118, 119]"
706,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
707,"[38, 39, 90, 91, 92, 93]"
708,"[12, 13, 52, 101, 102, 103]"
709,
710,[108]
711,"[10, 97, 98, 99, 100]"
712,
713,"[10, 97, 98, 99, 100]"
714,"[70, 71, 72, 73]"
715,
716,"[118, 119]"
717,[106]
718,"[35, 47, 48, 86, 87, 88]"
719,"[38, 39, 90, 91, 92, 93]"
720,"[27, 28, 94, 95, 96]"
721,[108]
722,[108]
723,[132]
724,"[27, 28, 94, 95, 96]"
725,"[38, 39, 90, 91, 92, 93]"
726,"[74, 75, 76, 77, 78]"
727,"[43, 107]"
728,"[38, 39, 90, 91, 92, 93]"
729,"[115, 116, 117]"
730,"[50, 89]"
731,"[50, 89]"
732,"[74, 75, 76, 77, 78]"
733,"[12, 13, 52, 101, 102, 103]"
734,"[27, 28, 94, 95, 96]"
735,
736,"[10, 97, 98, 99, 100]"
737,[109]
738,[137]
739,"[27, 28, 94, 95, 96]"
740,"[10, 97, 98, 99, 100]"
741,"[35, 47, 48, 86, 87, 88]"
742,"[12, 13, 52, 101, 102, 103]"
743,"[43, 107]"
744,"[127, 128]"
745,[109]
746,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
747,[109]
748,
749,"[74, 75, 76, 77, 78]"
750,"[74, 75, 76, 77, 78]"
751,"[12, 13, 52, 101, 102, 103]"
752,"[43, 107]"
753,"[50, 89]"
754,"[115, 116, 117]"
755,"[138, 139]"
756,[108]
757,"[38, 39, 90, 91, 92, 93]"
758,[109]
759,"[63, 64, 65, 66, 67, 68, 69]"
760,[136]
761,"[70, 71, 72, 73]"
762,"[10, 97, 98, 99, 100]"
763,[120]
764,
765,[135]
766,"[127, 128]"
767,
768,[106]
769,"[12, 13, 52, 101, 102, 103]"
770,"[43, 107]"
771,"[57, 58, 59, 60, 61, 62]"
772,"[50, 89]"
773,"[12, 13, 52, 101, 102, 103]"
774,"[50, 89]"
775,[108]
776,"[133, 134]"
777,"[35, 47, 48, 86, 87, 88]"
778,"[38, 39, 90, 91, 92, 93]"
779,[109]
780,"[27, 28, 94, 95, 96]"
781,
782,"[50, 89]"
783,
784,"[43, 107]"
785,"[35, 47, 48, 86, 87, 88]"
786,"[115, 116, 117]"
787,
788,
789,"[104, 105]"
790,"[35, 47, 48, 86, 87, 88]"
791,"[104, 105]"
792,"[118, 119]"
793,"[12, 13, 52, 101, 102, 103]"
794,"[43, 107]"
795,"[50, 89]"
796,"[38, 39, 90, 91, 92, 93]"
797,"[12, 13, 52, 101, 102, 103]"
798,"[63, 64, 65, 66, 67, 68, 69]"
799,"[50, 89]"
800,"[50, 89]"
801,
802,"[27, 28, 94, 95, 96]"
803,"[10, 97, 98, 99, 100]"
804,"[43, 107]"
805,"[50, 89]"
806,"[115, 116, 117]"
807,[122]
808,"[50, 89]"
809,
810,"[50, 89]"
811,"[38, 39, 90, 91, 92, 93]"
812,"[35, 47, 48, 86, 87, 88]"
813,[108]
814,"[10, 97, 98, 99, 100]"
815,"[50, 89]"
816,"[50, 89]"
817,"[104, 105]"
818,[106]
819,"[115, 116, 117]"
820,"[43, 107]"
821,"[74, 75, 76, 77, 78]"
822,"[10, 97, 98, 99, 100]"
823,"[27, 28, 94, 95, 96]"
824,"[74, 75, 76, 77, 78]"
825,"[104, 105]"
826,
827,"[74, 75, 76, 77, 78]"
828,"[127, 128]"
829,"[10, 97, 98, 99, 100]"
830,"[38, 39, 90, 91, 92, 93]"
831,"[35, 47, 48, 86, 87, 88]"
832,"[27, 28, 94, 95, 96]"
833,"[12, 13, 52, 101, 102, 103]"
834,"[104, 105]"
835,"[43, 107]"
836,"[35, 47, 48, 86, 87, 88]"
837,"[70, 71, 72, 73]"
838,"[115, 116, 117]"
839,"[35, 47, 48, 86, 87, 88]"
840,"[43, 107]"
841,"[27, 28, 94, 95, 96]"
842,"[104, 105]"
843,"[70, 71, 72, 73]"
844,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
845,"[10, 97, 98, 99, 100]"
846,"[57, 58, 59, 60, 61, 62]"
847,"[74, 75, 76, 77, 78]"
848,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
849,"[70, 71, 72, 73]"
850,"[123, 124, 125, 126]"
851,"[27, 28, 94, 95, 96]"
852,"[118, 119]"
853,"[133, 134]"
854,
855,
856,"[129, 130, 131]"
857,"[74, 75, 76, 77, 78]"
858,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
859,"[70, 71, 72, 73]"
860,"[50, 89]"
861,
862,"[27, 28, 94, 95, 96]"
863,"[43, 107]"
864,"[27, 28, 94, 95, 96]"
865,
866,"[74, 75, 76, 77, 78]"
867,[106]
868,[137]
869,
870,"[12, 13, 52, 101, 102, 103]"
871,"[12, 13, 52, 101, 102, 103]"
872,"[70, 71, 72, 73]"
873,"[43, 107]"
874,"[104, 105]"
875,[122]
876,"[43, 107]"
877,"[43, 107]"
878,"[27, 28, 94, 95, 96]"
879,"[110, 111, 112, 113, 114]"
880,[108]
881,"[133, 134]"
882,[106]
883,"[118, 119]"
884,
885,[106]
886,"[74, 75, 76, 77, 78]"
887,"[27, 28, 94, 95, 96]"
888,"[123, 124, 125, 126]"
889,[121]
890,"[115, 116, 117]"
891,"[27, 28, 94, 95, 96]"
892,"[70, 71, 72, 73]"
893,"[27, 28, 94, 95, 96]"
894,"[74, 75, 76, 77, 78]"
895,[108]
896,"[38, 39, 90, 91, 92, 93]"
897,"[27, 28, 94, 95, 96]"
898,[108]
899,"[43, 107]"
900,[106]
901,[120]
902,"[38, 39, 90, 91, 92, 93]"
903,[109]
904,"[27, 28, 94, 95, 96]"
905,"[27, 28, 94, 95, 96]"
906,"[63, 64, 65, 66, 67, 68, 69]"
907,"[35, 47, 48, 86, 87, 88]"
908,[108]
909,"[24, 25, 79, 80, 81, 82, 83, 84, 85]"
910,"[74, 75, 76, 77, 78]"
911,"[27, 28, 94, 95, 96]"
912,"[74, 75, 76, 77, 78]"
913,"[38, 39, 90, 91, 92, 93]"
914,"[110, 111, 112, 113, 114]"
915,[106]
916,"[110, 111, 112, 113, 114]"
917,"[104, 105]"
918,"[115, 116, 117]"
